org_id remap_id
http://rdf.freebase.com/ns/media_common.netflix_title.netflix_genres 0
http://rdf.freebase.com/ns/film.film.genre 1
http://rdf.freebase.com/ns/film.film.country 2
http://rdf.freebase.com/ns/film.film.language 3
http://rdf.freebase.com/ns/common.topic.notable_types 4
http://rdf.freebase.com/ns/film.film.film_festivals 5
http://rdf.freebase.com/ns/film.film.produced_by 6
http://rdf.freebase.com/ns/freebase.valuenotation.is_reviewed 7
http://rdf.freebase.com/ns/film.film.directed_by 8
http://rdf.freebase.com/ns/freebase.valuenotation.has_no_value 9
http://rdf.freebase.com/ns/film.film.written_by 10
http://rdf.freebase.com/ns/film.film.music 11
http://rdf.freebase.com/ns/film.film.cinematography 12
http://rdf.freebase.com/ns/film.film.edited_by 13
http://rdf.freebase.com/ns/film.film.rating 14
http://rdf.freebase.com/ns/film.film.executive_produced_by 15
http://rdf.freebase.com/ns/film.film.production_companies 16
http://rdf.freebase.com/ns/film.film.costume_design_by 17
http://rdf.freebase.com/ns/film.film.film_art_direction_by 18
http://rdf.freebase.com/ns/film.film.film_production_design_by 19
http://rdf.freebase.com/ns/film.film.film_casting_director 20
http://rdf.freebase.com/ns/film.film.film_set_decoration_by 21
http://rdf.freebase.com/ns/film.film.story_by 22
http://rdf.freebase.com/ns/film.film.subjects 23
http://rdf.freebase.com/ns/film.film.featured_film_locations 24
http://rdf.freebase.com/ns/film.film.film_format 25
http://rdf.freebase.com/ns/freebase.valuenotation.has_value 26
http://rdf.freebase.com/ns/tv.tv_program.genre 27
http://rdf.freebase.com/ns/film.film.film_series 28
http://rdf.freebase.com/ns/tv.tv_program.country_of_origin 29
http://rdf.freebase.com/ns/tv.tv_program.languages 30
http://rdf.freebase.com/ns/media_common.adaptation.adapted_from 31
http://rdf.freebase.com/ns/tv.tv_series_episode.series 32
http://rdf.freebase.com/ns/award.award_nominated_work.award_nominations 33
http://rdf.freebase.com/ns/fictional_universe.work_of_fiction.part_of_these_fictional_universes 34
http://rdf.freebase.com/ns/film.film.film_collections 35
http://rdf.freebase.com/ns/film.film.primary_language 36
http://rdf.freebase.com/ns/base.datafunzone.modified_topic.modified_in_queue 37
http://rdf.freebase.com/ns/award.award_winning_work.awards_won 38
http://rdf.freebase.com/ns/tv.tv_program.program_creator 39
http://rdf.freebase.com/ns/tv.tv_series_episode.director 40
http://rdf.freebase.com/ns/fictional_universe.work_of_fiction.setting 41
http://rdf.freebase.com/ns/tv.tv_series_episode.season 42
http://rdf.freebase.com/ns/base.parody.parodied_subject.parodies 43
http://rdf.freebase.com/ns/film.film.soundtrack 44
http://rdf.freebase.com/ns/tv.tv_series_episode.writer 45
http://rdf.freebase.com/ns/film.film.locations 46
http://rdf.freebase.com/ns/base.datafunzone.modified_topic.skipped_in_queue 47
http://rdf.freebase.com/ns/base.objectionablecontent.flagged_content.flags 48
http://rdf.freebase.com/ns/dataworld.gardening_hint.split_to 49
http://rdf.freebase.com/ns/music.album.artist 50
http://rdf.freebase.com/ns/music.album.album_content_type 51
